list_name,choice_count,sample_values,sample_labels_en,filter_columns_present
region,26,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Arusha | Dar es Salaam | Dodoma | Geita | Iringa | Kagera | Katavi | Kigoma | Kilimanjaro | Lindi,
reporting_period,4,year1 | year2 | year3 | endline,Year 1 | Year 2 | Year 3 | Endline,
risk_category,3,A | B | C,Category A | Category B | Category C,
target_group,5,1 | 2 | 3 | 4 | 5,Women | Youth (18–35) | Vulnerable Groups | Persons with Disabilities | Mixed Group,
technology,21,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Climate-smart seeds, including drought-tolerant, early-maturing, pest-resistant and locally adaptive varieties, | 2)Organic inputs, compost, bio-fertilizers and soil testing kits, | 3)Land preparation and mechanization, including tractors, rippers, planters and laser land levelling, | 4)Efficient irrigation, including solar pumps, drip, sprinkler and water-saving systems, | 5)Rainwater harvesting and water storage, including tanks, ponds, reservoirs and charco dams, | 6)Irrigation infrastructure improvement, including canal lining, desilting, flow regulation and paddy water management, | 7)Flood control and drainage systems for farms and irrigation schemes, | 8)Greenhouses, net shading and protected farming systems, | 9)Agroforestry, including fruit trees, banana, coffee, legumes, cereals and avocado, | 10)Soil and water conservation, including mulching, minimum tillage, cover cropping and erosion control,",
training_type,5,1 | 2 | 3 | 4 | 5,ARA Practices | Financial Inclusion | Gender & Social Inclusion | Climate-Smart Agriculture | Post-Harvest Management,
unit_measure,31,man_day | person | hour | day | acre | hectare | plot | kg | gram | tonne,Man-day | Person | Hour | Day | Acre | Hectare | Plot | Kilogram (kg) | Gram (g) | Tonne,
vc_stages,18,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,FARM PREPARATION STAGE BENEFICIARIES | FARM OPERATIONS STAGE BENEFICIARIES | INPUT SUPPLY STAGE BENEFICIARIES | WEEDING / FIELD MANAGEMENT STAGE BENEFICIARIES | PRE-HARVEST / PEST CONTROL STAGE BENEFICIARIES | HARVESTING STAGE BENEFICIARIES | POST-HARVEST HANDLING STAGE BENEFICIARIES | STORAGE / WAREHOUSING STAGE BENEFICIARIES | CCROP TRANSPORT STAGE BENEFICIARIES | VALUE ADDITION/PROCESSING  STAGE BENEFICIARIES,
verification,17,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Farmer interview | Field observation | Field measurement | Farm production records | Sales records | Purchase receipts | Input purchase receipts | Loan records | Farmer group or cooperative records | Warehouse or storage records,
village,66297,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Kitiangare | Tindigani | Kijenge Kaskazini | Kijenge Kusini | Sorenyi | Kambi ya Chupa | Kwa Mrefu | Mferejini | Kiroshi | Siara,"region, district, ward"
ward,3966,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Kimandolu | Baraa | Oloirien | Moshono | Moivaro | Lemara | Engutoto | Sokon I | Sinoni | Terrat,"region, district"
water_tech_list,19,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Drip irrigation systems, | 2)Solar-powered drip irrigation systems, | 3)Sprinkler irrigation systems, | 4)Solar-powered sprinkler irrigation systems, | 5)Borehole irrigation with solar pumping, | 6)River/lake abstraction with solar pumping, where legally permitted, | 7)Rainwater harvesting irrigation systems, | 8)Farm pond and charco dam irrigation systems, | 9)Water storage tanks and reservoir-based irrigation, | 10)Gravity-fed irrigation systems,",
