ChoiceListName,ChoiceValue,LabelEn,LabelSw,ZoneValue,RegionValue,DistrictValue,WardValue,CropNameValue,TechnologyValue
crop_name,15.6,15.6. Mango (Embe),15.6. Mango (Embe),,,,,,
crop_name,15.7,15.7. Papaya (Papai),15.7. Papaya (Papai),,,,,,
crop_name,16.1,16.1. Cabbage (Kabichi),16.1. Cabbage (Kabichi),,,,,,
crop_name,16.2,16.2. Chinese Cabbage (Kabichi ya Kichina),16.2. Chinese Cabbage (Kabichi ya Kichina),,,,,,
crop_name,16.3,16.3. Cowpea Leaves (Majani ya kunde),16.3. Cowpea Leaves (Majani ya kunde),,,,,,
crop_name,16.4,16.4. Jute Mallow (Mlenda),16.4. Jute Mallow (Mlenda),,,,,,
crop_name,16.5,16.5. Kale (Sukuma wiki),16.5. Kale (Sukuma wiki),,,,,,
crop_name,16.6,16.6. Lettuce (Saladi),16.6. Lettuce (Saladi),,,,,,
crop_name,16.7,16.7. Pumpkin Leaves (Majani ya maboga),16.7. Pumpkin Leaves (Majani ya maboga),,,,,,
crop_name,16.8,16.8. Sweet Potato Leaves (Matembele),16.8. Sweet Potato Leaves (Matembele),,,,,,
crop_name,16.9,16.9. Amaranth Leaf Indigenous(Mchicha),16.9. Amaranth Leaf Indigenous(Mchicha),,,,,,
crop_name,16.10,16.10. Nightshade-African (Mnavu mkali),16.10. Nightshade-African (Mnavu mkali),,,,,,
crop_name,16.11,16.11. Spider-Indigenou Plant (Mnafu),16.11. Spider-Indigenou Plant (Mnafu),,,,,,
crop_name,17.1,17.1. Cereal–Legume Mixed Cropping (Maize+Common Beans) (Kilimo Mseto cha Nafaka na Mikunde),17.1. Cereal–Legume Mixed Cropping (Maize+Common Beans) (Kilimo Mseto cha Nafaka na Mikunde),,,,,,
crop_name,17.2,17.2. Holtcultiure Vegetable and Cereal Mixed Cropping (Kilimo mseto (mboga za Bustani na Nafaka),17.2. Holtcultiure Vegetable and Cereal Mixed Cropping (Kilimo mseto (mboga za Bustani na Nafaka),,,,,,
crop_name,17.3,17.3. Oilseed–Cereal–Legume Mixed Cropping (Kilimo mseto-mafuta+Nafaka&Mikunde),17.3. Oilseed–Cereal–Legume Mixed Cropping (Kilimo mseto-mafuta+Nafaka&Mikunde),,,,,,
crop_name,17.4,17.4. Root/Tuber–Cereal–Legume Mixes (mazao Mchanganyiko),17.4. Root/Tuber–Cereal–Legume Mixes (mazao Mchanganyiko),,,,,,
crop_name,18.1,18.1. Erosion & Nutrients control crops (Mazao ya Kudhibiti Mmomonyoko na Kuboresha Virutubisho vya Udongo),18.1. Erosion & Nutrients control crops (Mazao ya Kudhibiti Mmomonyoko na Kuboresha Virutubisho vya Udongo),,,,,,
crop_name,19.1,19.1. Other holticulture Produce (Mazao mengine ya bustani),19.1. Other holticulture Produce (Mazao mengine ya bustani),,,,,,
crop_name,20.1,20.1. Greenhouse Vegetables Produce (Mboga za kitalu nyumba),20.1. Greenhouse Vegetables Produce (Mboga za kitalu nyumba),,,,,,
crop_name,21.1,"21.1. Edible Mushrooms (Oyster, Shiitake, Button) (Uyoga)","21.1. Edible Mushrooms (Oyster, Shiitake, Button) (Uyoga)",,,,,,
crop_name,22.1,22.1. Turnip (Nabo),22.1. Turnip (Nabo),,,,,,
crop_name,22.2,22.2. Onion (bulb) (Kitunguu),22.2. Onion (bulb) (Kitunguu),,,,,,
crop_name,22.3,22.3. Radish (Radishi),22.3. Radish (Radishi),,,,,,
crop_name,22.4,22.4. Garlic (Kitunguu saumu),22.4. Garlic (Kitunguu saumu),,,,,,
crop_name,23.1,23.1. Ginger (Tangawizi),23.1. Ginger (Tangawizi),,,,,,
crop_name,23.2,23.2. Parsnip (Caroot nyeupe),23.2. Parsnip (Caroot nyeupe),,,,,,
crop_name,24.1,24.1. Beetroot (Beetroot),24.1. Beetroot (Beetroot),,,,,,
crop_name,24.2,24.2. Carrot (Karoti),24.2. Carrot (Karoti),,,,,,
crop_name,25.1,25.1. Black Pepper (Pilipili manga),25.1. Black Pepper (Pilipili manga),,,,,,
crop_name,25.2,25.2. Cardamom (Iliki),25.2. Cardamom (Iliki),,,,,,
crop_name,25.3,25.3. Cinnamon (Mdalasini),25.3. Cinnamon (Mdalasini),,,,,,
crop_name,25.4,25.4. Clove (Karafuu),25.4. Clove (Karafuu),,,,,,
crop_name,25.5,25.5. Coriander (Kotimiri),25.5. Coriander (Kotimiri),,,,,,
crop_name,25.6,25.6. Cumin (Jira),25.6. Cumin (Jira),,,,,,
crop_name,25.7,25.7. Fennel (Haradali ya kupika),25.7. Fennel (Haradali ya kupika),,,,,,
crop_name,25.8,25.8. Lemongrass (Mchaichai),25.8. Lemongrass (Mchaichai),,,,,,
crop_name,25.9,25.9. Turmeric (Manjano/Binzari),25.9. Turmeric (Manjano/Binzari),,,,,,
crop_name,25.10,25.10. Vanilla (Vanila),25.10. Vanilla (Vanila),,,,,,
crop_name,26.1,26.1. Grafted Fruit Varieties (Matunda Yaliyopandikizwa),26.1. Grafted Fruit Varieties (Matunda Yaliyopandikizwa),,,,,,
crop_name,27.1,27.1. Green Manure Crops (Mazao ya kurutubisha),27.1. Green Manure Crops (Mazao ya kurutubisha),,,,,,
crop_name,27.2,"27.2. Cover Crops  Legumes (Mucuna, Lablab) (Mazao ya kufunika udongo (mikunde))","27.2. Cover Crops  Legumes (Mucuna, Lablab) (Mazao ya kufunika udongo (mikunde))",,,,,,
crop_name,28.1,28.1. Hydropinic crops (Mazao ya kilimo cha maji,28.1. Hydropinic crops (Mazao ya kilimo cha maji,,,,,,
crop_name,29,29. Improved seeds (Mbegu stahimilivu na zilizo boreshwa),29. Improved seeds (Mbegu stahimilivu na zilizo boreshwa),,,,,,
crop_name,30.1,"30.1.  Soil Conservation crops  (Vetiver Grass, Ornamental Plants etc) (Mazo ya kutunza udongo)","30.1.  Soil Conservation crops  (Vetiver Grass, Ornamental Plants etc) (Mazo ya kutunza udongo)",,,,,,
crop_name,31.1,31.1. Wind break Crops (Mazao ya kuzuia upepo),31.1. Wind break Crops (Mazao ya kuzuia upepo),,,,,,
crop_name,31.2,31.2. Agroforestry for mulching (mazo ya matandazo),31.2. Agroforestry for mulching (mazo ya matandazo),,,,,,
crop_name,31.3,31.3. Intercrop & Alley Cropping (Kilimo mseto kwa mistari Kupanda Mazao Kati ya Mistari ya Miti),31.3. Intercrop & Alley Cropping (Kilimo mseto kwa mistari Kupanda Mazao Kati ya Mistari ya Miti),,,,,,
crop_name,32.1,"32.1. Sustainable Aquaculture, Aquatic Crops and Aquaponics Systems (Ufugaji na Uvunaji Endelevu wa Samaki, Viumbe Maji na Mifumo ya Aquaponic)","32.1. Sustainable Aquaculture, Aquatic Crops and Aquaponics Systems (Ufugaji na Uvunaji Endelevu wa Samaki, Viumbe Maji na Mifumo ya Aquaponic)",,,,,,
crop_name,96,33. Other (please specify),33. Other (please specify),,,,,,
crop_category,1,1. Cereal Grain (Primary Staple Food),1. Cereal Grain (Primary Staple Food),,,,,,
crop_category,2,2. Fruit Crop (Staple Food),2. Fruit Crop (Staple Food),,,,,,
crop_category,3,3. Grain Legumes,3. Grain Legumes,,,,,,
crop_category,4,4. Fruit Crop (strategic),4. Fruit Crop (strategic),,,,,,
crop_category,5,5. Tuber- Energy Crops (Staple food),5. Tuber- Energy Crops (Staple food),,,,,,
crop_category,6,6. Tuber-Energy Crops (Staple food)/Strategic,6. Tuber-Energy Crops (Staple food)/Strategic,,,,,,
crop_category,7,7. Edible oil crop (Strategic),7. Edible oil crop (Strategic),,,,,,
crop_category,8,8. Edible oil crop (legume),8. Edible oil crop (legume),,,,,,
crop_category,9,9. Edible oil crop,9. Edible oil crop,,,,,,
crop_category,10,10. Fruit Vegetables (horticulture),10. Fruit Vegetables (horticulture),,,,,,
crop_category,11,11. Fruit Vegetables (Spice),11. Fruit Vegetables (Spice),,,,,,
crop_category,12,12. Grain Legume-edible oil crop,12. Grain Legume-edible oil crop,,,,,,
crop_category,13,13. Fruit crops,13. Fruit crops,,,,,,
crop_category,14,14. Fruit crops (Citrus),14. Fruit crops (Citrus),,,,,,
crop_category,15,15. Fruit crops (Tropical & Subtropic),15. Fruit crops (Tropical & Subtropic),,,,,,
crop_category,16,16. Leafy Vegetables,16. Leafy Vegetables,,,,,,
crop_category,17,17. Mixed farming cropping,17. Mixed farming cropping,,,,,,
crop_category,18,18. Multipurpose Legumes,18. Multipurpose Legumes,,,,,,
crop_category,19,19.  Horticulture (Vegetables),19.  Horticulture (Vegetables),,,,,,
crop_category,20,20. Horticulture (Protected Cultivation),20. Horticulture (Protected Cultivation),,,,,,
crop_category,21,21. Mushrooms,21. Mushrooms,,,,,,
crop_category,22,22. Root & Bulb Vegetables (Horticulture),22. Root & Bulb Vegetables (Horticulture),,,,,,
crop_category,23,23. Root Crops (Food Ingredients),23. Root Crops (Food Ingredients),,,,,,
crop_category,24,24. Root Vegetable (Horticulture),24. Root Vegetable (Horticulture),,,,,,
crop_category,25,25. Spice Crops,25. Spice Crops,,,,,,
crop_category,26,26. Fruit Tree,26. Fruit Tree,,,,,,
crop_category,27,27. Soil Health crops,27. Soil Health crops,,,,,,
crop_category,28,28. Resilience / Urban Gardening,28. Resilience / Urban Gardening,,,,,,
crop_category,29,29. Resilience seeds,29. Resilience seeds,,,,,,
crop_category,30,30. Conservation crops,30. Conservation crops,,,,,,
crop_category,31,31. Agroforestry,31. Agroforestry,,,,,,
crop_category,32,32. Integrated Adaptation System,32. Integrated Adaptation System,,,,,,
crop_category,33,"34.Aquaculture, Fisheries and Blue Economy Systems","34.Aquaculture, Fisheries and Blue Economy Systems",,,,,,
crop_category,96,"96. Other (please specify)""","96. Other (please specify)""",,,,,,
crop_adaptation,1.1,"1.1. Widely used Primary Staple Food cereal,  critical for food systems and adaptable to many climate zones.","1.1. Widely used Primary Staple Food cereal,  critical for food systems and adaptable to many climate zones.",,,,,1.1,
crop_adaptation,1.2,1.2. Staple food crop with adaptation needs in irrigation and flood zones.,1.2. Staple food crop with adaptation needs in irrigation and flood zones.,,,,,1.2,
crop_adaptation,1.3,"1.3.widely used(Primary Staple Food, fFlood-resilient crop with importance in water management.","1.3.widely used(Primary Staple Food, fFlood-resilient crop with importance in water management.",,,,,1.3,
crop_adaptation,1.4,"1.4. It is Primary,  Staple Food and Strategic, cool-season cereal with value for bread and rotation cropping.","1.4. It is Primary,  Staple Food and Strategic, cool-season cereal with value for bread and rotation cropping.",,,,,1.4,
crop_adaptation,1.5,1.5. Hardy cereal for dry zones and intercropping with legumes or pulses.,1.5. Hardy cereal for dry zones and intercropping with legumes or pulses.,,,,,1.5,
crop_adaptation,1.6,"1.6. Primary Staple food in rural , nutritious traditional cereal for dryland agriculture and food diversification.","1.6. Primary Staple food in rural , nutritious traditional cereal for dryland agriculture and food diversification.",,,,,1.6,
crop_adaptation,1.7,1.7.  Primary Staple Food and drought-tolerant cereal for food security in arid regions.,1.7.  Primary Staple Food and drought-tolerant cereal for food security in arid regions.,,,,,1.7,
crop_adaptation,1.8,1.8. Among Staple Food and cold-tolerant cereal used in highland climates with potential for rotational systems.,1.8. Among Staple Food and cold-tolerant cereal used in highland climates with potential for rotational systems.,,,,,1.8,
crop_adaptation,1.9,1.9.  Primary Staple Food and dry land cereal critical for nutrition and drought adaptation.,1.9.  Primary Staple Food and dry land cereal critical for nutrition and drought adaptation.,,,,,1.9,
crop_adaptation,1.10,1.10. Emerging cereal for highland climates with food and fodder co-benefits.,1.10. Emerging cereal for highland climates with food and fodder co-benefits.,,,,,1.10,
crop_adaptation,2.1,2.1 .Widely used staple fruit crop food and a perennial staple that stabilizes soil and supports food security year-round.,2.1 .Widely used staple fruit crop food and a perennial staple that stabilizes soil and supports food security year-round.,,,,,2.1,
crop_adaptation,3.1,3.1.Nitrogen-fixing legume improves soil fertility and household food security.,3.1.Nitrogen-fixing legume improves soil fertility and household food security.,,,,,3.1,
crop_adaptation,3.2,3. 2.  Deep-rooted legume supporting nitrogen fixation in drought-prone areas.,3. 2.  Deep-rooted legume supporting nitrogen fixation in drought-prone areas.,,,,,3.2,
crop_adaptation,3.3,"3.3. Multi-use legume supporting food, fodder, and soil fertility under low rainfall.","3.3. Multi-use legume supporting food, fodder, and soil fertility under low rainfall.",,,,,3.3,
crop_adaptation,3.4,3. 4. Protein-rich pulse ideal for short-cycle farming in drylands.,3. 4. Protein-rich pulse ideal for short-cycle farming in drylands.,,,,,3.4,
crop_adaptation,3.5,3.5.Short-cycle pulse that fits into post-rainy season and relay farming systems.,3.5.Short-cycle pulse that fits into post-rainy season and relay farming systems.,,,,,3.5,
crop_adaptation,3.6,3.6. Short-cycle pulse that supports crop diversification and dietary resilience.,3.6. Short-cycle pulse that supports crop diversification and dietary resilience.,,,,,3.6,
crop_adaptation,3.7,3. 7. Dual-purpose crop offering both leafy greens and nutrient-dense grains for resilience.,3. 7. Dual-purpose crop offering both leafy greens and nutrient-dense grains for resilience.,,,,,3.7,
crop_adaptation,4.1,"4. 1. High-value tree crop with export potential and soil conservation benefits, livelihood diviosefication ro small jholder undertalers","4. 1. High-value tree crop with export potential and soil conservation benefits, livelihood diviosefication ro small jholder undertalers",,,,,4.1,
crop_adaptation,5.1,5.1. Staple food with energy potential and highly drought-resistant staple essential for food security in semi-arid regions.,5.1. Staple food with energy potential and highly drought-resistant staple essential for food security in semi-arid regions.,,,,,5.1,
crop_adaptation,5.2,5.2. Staple tuber crop with short maturity and high caloric contribution.,5.2. Staple tuber crop with short maturity and high caloric contribution.,,,,,5.2,
crop_adaptation,5.3,5. 3. calorie-rich staple that contributes to household food supply during dry seasons or lean periods.,5. 3. calorie-rich staple that contributes to household food supply during dry seasons or lean periods.,,,,,5.3,
crop_adaptation,5.4,5. 4. Swamp-grown tuber important for climate-smart wetland farming.,5. 4. Swamp-grown tuber important for climate-smart wetland farming.,,,,,5.4,
crop_adaptation,5.5,5.5. Staple food with energy potential performs in moist areas and provides fallback tuber food during climate stress.,5.5. Staple food with energy potential performs in moist areas and provides fallback tuber food during climate stress.,,,,,5.5,
crop_adaptation,5.6,5. 6. One of Staple food grows in wetlands and improves food access during dry seasons in lowland areas.,5. 6. One of Staple food grows in wetlands and improves food access during dry seasons in lowland areas.,,,,,5.6,
crop_adaptation,6.1,"6.1.Staple food, energy crops and strtaegic tuber crop suitable for cool zones with short growth cycle and storage capacity.","6.1.Staple food, energy crops and strtaegic tuber crop suitable for cool zones with short growth cycle and storage capacity.",,,,,6.1,
crop_adaptation,7.1,7.1. Staple oilseed crop improving food and income resilience.,7.1. Staple oilseed crop improving food and income resilience.,,,,,7.1,
crop_adaptation,8.1,8.1 Oilseed legume that improves income and soil under low-input farming systems.,8.1 Oilseed legume that improves income and soil under low-input farming systems.,,,,,8.1,
crop_adaptation,9.1,9.1. Oil-rich tree supporting sustainable livelihoods in coastal agroecologies.,9.1. Oil-rich tree supporting sustainable livelihoods in coastal agroecologies.,,,,,9.1,
crop_adaptation,9.2,9.2. High-value oilseed suitable for export and dry season cropping.,9.2. High-value oilseed suitable for export and dry season cropping.,,,,,9.2,
crop_adaptation,9.3,9.3. Oilseed crop with by-product value and potential in dryland income systems.,9.3. Oilseed crop with by-product value and potential in dryland income systems.,,,,,9.3,
crop_adaptation,10.1,10.1. Widely grown vegetable supporting year-round nutrition needs.,10.1. Widely grown vegetable supporting year-round nutrition needs.,,,,,10.1,
crop_adaptation,10.2,10.2. Multi-use crop supporting climate-smart nutrition and mixed cropping.,10.2. Multi-use crop supporting climate-smart nutrition and mixed cropping.,,,,,10.2,
crop_adaptation,10.3,10.3. Multi-use vegetable for nutrition and intercropping.,10.3. Multi-use vegetable for nutrition and intercropping.,,,,,10.3,
crop_adaptation,10.4,10.4. Moisture-demanding fruit with strong value chain resilience.,10.4. Moisture-demanding fruit with strong value chain resilience.,,,,,10.4,
crop_adaptation,10.5,10.5.High-yield vegetable with short maturity suited to intercropping systems.,10.5.High-yield vegetable with short maturity suited to intercropping systems.,,,,,10.5,
crop_adaptation,10.6,10.6. Moisture-demanding vegetable suited for raised-bed and kitchen garden systems.,10.6. Moisture-demanding vegetable suited for raised-bed and kitchen garden systems.,,,,,10.6,
crop_adaptation,10.7,10.7. Thrives in hot zones and supports food production in small land plots.,10.7. Thrives in hot zones and supports food production in small land plots.,,,,,10.7,
crop_adaptation,10.8,10.8. Iron-rich leafy vegetable that thrives in wet and dry conditions.,10.8. Iron-rich leafy vegetable that thrives in wet and dry conditions.,,,,,10.8,
crop_adaptation,10.9,10.9. Thrives in hot climates and can be grown under shade in kitchen plots.,10.9. Thrives in hot climates and can be grown under shade in kitchen plots.,,,,,10.9,
crop_adaptation,10.10,10.10. Includes capsicum and chili adapted to diverse production systems.,10.10. Includes capsicum and chili adapted to diverse production systems.,,,,,10.10,
crop_adaptation,11.1,11.1. Tolerates hot climates and adds spice-value to diversified kitchen gardens.,11.1. Tolerates hot climates and adds spice-value to diversified kitchen gardens.,,,,,11.1,
crop_adaptation,12.1,12.1. Versatile protein crop adaptable to low-rainfall agroecologies.,12.1. Versatile protein crop adaptable to low-rainfall agroecologies.,,,,,12.1,
crop_adaptation,13.1,13.1. High-value temperate fruit suitable for diversification in highland agroecological zones.,13.1. High-value temperate fruit suitable for diversification in highland agroecological zones.,,,,,13.1,
crop_adaptation,13.2,13.2. Underutilized fruit tree with adaptation potential in humid areas.,13.2. Underutilized fruit tree with adaptation potential in humid areas.,,,,,13.2,
crop_adaptation,13.3,13.3.Temperate fruit with economic value and adaptation in highland systems.,13.3.Temperate fruit with economic value and adaptation in highland systems.,,,,,13.3,
crop_adaptation,13.4,13.4. Temperate fruit crop suited to niche orchard and kitchen garden systems.,13.4. Temperate fruit crop suited to niche orchard and kitchen garden systems.,,,,,13.4,
crop_adaptation,13.5,13.5. Highland fruit with market and dietary adaptation benefit.,13.5. Highland fruit with market and dietary adaptation benefit.,,,,,13.5,
crop_adaptation,13.6,13.6.Tropical fruit tree supporting smallholder fruit processing and income.,13.6.Tropical fruit tree supporting smallholder fruit processing and income.,,,,,13.6,
crop_adaptation,13.7,13.7. Berries that adapt well to raised-bed and vertical farming systems.,13.7. Berries that adapt well to raised-bed and vertical farming systems.,,,,,13.7,
crop_adaptation,14.1,14.1. Adds citrus diversity and micronutrient-rich options in smallholder diets.,14.1. Adds citrus diversity and micronutrient-rich options in smallholder diets.,,,,,14.1,
crop_adaptation,14.2,14.2. Tolerates semi-arid climates and supports citrus diversification.,14.2. Tolerates semi-arid climates and supports citrus diversification.,,,,,14.2,
crop_adaptation,14.3,14.3. Supports agroecological income through fruit juice and citrus diversity.,14.3. Supports agroecological income through fruit juice and citrus diversity.,,,,,14.3,
crop_adaptation,14.4,14.4. Widespread citrus crop with nutrition and juice processing opportunity.,14.4. Widespread citrus crop with nutrition and juice processing opportunity.,,,,,14.4,
crop_adaptation,14.5,14.5. Small citrus fruit with high vitamin C and urban farming potential.,14.5. Small citrus fruit with high vitamin C and urban farming potential.,,,,,14.5,
crop_adaptation,15.1,15.1.  Widely accepted fruit supporting livelihoods and export diversification.,15.1.  Widely accepted fruit supporting livelihoods and export diversification.,,,,,15.1,
crop_adaptation,15.2,15.2. High-vitamin fruit with year-round production supporting dietary resilience.,15.2. High-vitamin fruit with year-round production supporting dietary resilience.,,,,,15.2,
crop_adaptation,15.3,15.3. Tropical fruit crop that tolerates heat and supports juice production.,15.3. Tropical fruit crop that tolerates heat and supports juice production.,,,,,15.3,
crop_adaptation,15.4,"15.4.Multipurpose coastal crop providing food, oil, and resilience in saline soils.","15.4.Multipurpose coastal crop providing food, oil, and resilience in saline soils.",,,,,15.4,
crop_adaptation,15.5,15.5. Large fruit tree providing food security buffer during seasonal food gaps.,15.5. Large fruit tree providing food security buffer during seasonal food gaps.,,,,,15.5,
crop_adaptation,15.6,15.6. Popular fruit crop with resilience to pests and seasonal climate changes.,15.6. Popular fruit crop with resilience to pests and seasonal climate changes.,,,,,15.6,
crop_adaptation,15.7,15.7. Tropical fruit tree with wide acceptance and short bearing time.,15.7. Tropical fruit tree with wide acceptance and short bearing time.,,,,,15.7,
crop_adaptation,16.1,16.1.Fast-growing vegetable with high market value in both rural and urban areas.,16.1.Fast-growing vegetable with high market value in both rural and urban areas.,,,,,16.1,
crop_adaptation,16.2,16.2. Grows quickly and thrives under irrigation or raised bed systems.,16.2. Grows quickly and thrives under irrigation or raised bed systems.,,,,,16.2,
crop_adaptation,16.3,16.3. Nutritious leafy vegetable that thrives in tropical agroecologies with minimal input.,16.3. Nutritious leafy vegetable that thrives in tropical agroecologies with minimal input.,,,,,16.3,
